Position (m),Deflection (mm)
0.057,-0.005737994372158566
0.057,-0.005712837961451849
0.0585,-0.005987975681311125
0.0585,-0.006012974111082472
0.06,-0.006269266258896574
0.06,-0.006294106709496458
0.0615,-0.006556670597897583
0.0615,-0.006581353080920215
0.063,-0.006850149642532873
0.063,-0.006874674176895765
0.0645,-0.0071496643736448096
0.0645,-0.007174030983651182
0.066,-0.0074793845187618585
0.066,-0.007455175804908126
0.0675,-0.0077906958279636215
0.0675,-0.0077666449792858
0.069,-0.008107925982209519
0.069,-0.008084032965805945
0.07050000000000001,-0.00840730085669175
0.07050000000000001,-0.00843103607501753
0.07200000000000001,-0.008736409764848985
0.07200000000000001,-0.008759987220126107
0.0735,-0.009094740549454155
0.0735,-0.009071320821697457
0.075,-0.009435257211349279
0.075,-0.00941199517532177
0.0765,-0.0097814983691008
0.0765,-0.009758393988911231
0.078,-0.010110478439456137
0.078,-0.010133425199690255
0.0795,-0.010490998892751187
0.0795,-0.010468209716667988
0.081,-0.010854180649710289
0.081,-0.010831549022092024
0.0825,-0.011222931683084199
0.0825,-0.011200457568384035
0.084,-0.011574896578724913
0.084,-0.011597213215907955
0.0855,-0.011976986481273868
0.0855,-0.011954827286350531
0.08700000000000001,-0.012362212721962291
0.08700000000000001,-0.012340210934176617
0.0885,-0.01275285319014809
0.0885,-0.012731008774502098
0.09,-0.01314886914716887
0.09,-0.0131271820687756
0.0915,-0.013550221863343625
0.0915,-0.013528692087413741
0.093,-0.013956872617831774
0.093,-0.013935500109660518
0.0945,-0.014368782698524629
0.0945,-0.014347567423479535
0.096,-0.01476485532547233
0.096,-0.014785913401962586
0.0975,-0.015208226033272567
0.0975,-0.015187325120816997
0.099,-0.015614938123222767
0.099,-0.015635681906121395
0.1005,-0.01604765565489683
0.1005,-0.016068242342681376
0.10200000000000001,-0.01648543904652062
0.10200000000000001,-0.016505868673605536
0.10350000000000001,-0.01692824963723315
0.10350000000000001,-0.016948522238009942
0.105,-0.01739616438346151
0.105,-0.017376048774619717
0.1065,-0.017828797814704703
0.1065,-0.017848756465969957
0.108,-0.018286458121946826
0.108,-0.01830625984998258
0.1095,-0.018748991069237213
0.1095,-0.01876863590838147
0.111,-0.01921635803789815
0.111,-0.019235846022482017
0.1125,-0.019707851582032514
0.1125,-0.01968852041768321
0.114,-0.020184613985214615
0.114,-0.02016543960677799
0.1155,-0.020666094638644075
0.1155,-0.02064707701180118
0.117,-0.02113339404780592
0.117,-0.021152254957371865
0.11850000000000001,-0.02162435213828094
0.11850000000000001,-0.021643056364885283
0.12,-0.02213846029310925
0.12,-0.022119912715152214
0.1215,-0.022620037218783993
0.1215,-0.02263842818240737
0.123,-0.023142921481583298
0.123,-0.023124687097980337
0.1245,-0.02363382380998588
0.1245,-0.023651901647881526
0.126,-0.02416533014698836
0.126,-0.024147408820487017
0.1275,-0.02468316845303285
0.1275,-0.024665403603612697
0.129,-0.02520537804858736
0.129,-0.025187769641935198
0.1305,-0.02571446842647077
0.1305,-0.025731920424668313
0.132,-0.026262757080736648
0.132,-0.026245461456680143
0.1335,-0.026780710240469106
0.1335,-0.026797849524698315
0.135,-0.027337159272904633
0.135,-0.027320176294188755
0.1365,-0.027880647850152623
0.1365,-0.027863821142635952
0.138,-0.02842827678968522
0.138,-0.028411606319053418
0.1395,-0.0289634933651302
0.1395,-0.028980007633191616
0.14100000000000001,-0.029535801930807248
0.14100000000000001,-0.029519443831001593
0.14250000000000002,-0.030079419275249385
0.14250000000000002,-0.030095621241114073
0.14400000000000002,-0.03064338126490201
0.14400000000000002,-0.030659427131140636
0.1455,-0.03122718117636226
0.1455,-0.031211291375434703
0.147,-0.03179884496070103
0.147,-0.031783111190769445
0.1485,-0.03235880230327494
0.1485,-0.03237438007652578
0.15,-0.03295374812465224
0.15,-0.032938326313766926
0.1515,-0.03353691071434308
0.1515,-0.033521644831507956
0.153,-0.03412382946330791
0.153,-0.03410871947420759
