Position (m),Deflection (mm)
1.29,-23.534822124113603
1.29,-23.535138864773753
1.3199999999999998,-24.53449152574947
1.3199999999999998,-24.534180962492464
1.3499999999999999,-25.549535295024032
1.3499999999999999,-25.5492308870069
1.38,-26.579660896061455
1.38,-26.579959171001967
1.41,-27.625453271922094
1.41,-27.62516110789495
1.44,-28.685422760564055
1.44,-28.685708835841037
1.47,-29.760138211960665
1.47,-29.76041822065075
1.5,-30.849000939794575
1.5,-30.84927490406094
1.53,-31.951973483615525
1.53,-31.95170554160967
1.56,-33.068209676677235
1.56,-33.06794773476873
1.5899999999999999,-34.19768032043138
1.5899999999999999,-34.1974243564571
1.6199999999999999,-35.33983336368352
1.6199999999999999,-35.34008337188676
1.65,-36.49511790787598
1.65,-36.49487383328063
1.68,-37.662245961903096
1.68,-37.66248412505375
1.71,-38.84165106602293
1.71,-38.84188333989205
1.74,-40.03279158194839
1.74,-40.033017988699164
1.77,-41.23537106579979
1.77,-41.23559162759543
1.7999999999999998,-42.44930893253178
1.7999999999999998,-42.44909419352799
1.8299999999999998,-43.67366676092087
1.8299999999999998,-43.67387569929597
1.8599999999999999,-44.90899884348308
1.8599999999999999,-44.908795683573494
1.89,-46.1543864005271
1.89,-46.15418899691982
1.92,-47.40974752567184
1.92,-47.40955585620376
1.95,-48.67479249399837
1.95,-48.67460653650632
1.98,-49.94905243272001
1.98,-49.949232700399044
2.01,-51.23278065958701
2.01,-51.23260605955784
2.04,-52.52498105154741
2.04,-52.525150006089866
2.07,-53.82589216304116
2.07,-53.826055494260224
2.1,-55.13505526822857
2.1,-55.13521299828743
2.13,-56.45233951218699
2.13,-56.45218736112519
2.16,-57.77715314978788
2.16,-57.77700655555992
2.19,-59.109373144743515
2.19,-59.109232085186186
2.2199999999999998,-60.44858430350093
2.2199999999999998,-60.44871985055075
2.25,-61.79491474050636
2.25,-61.79478468380089
2.28,-63.14755581920885
2.28,-63.14768040773323
2.31,-64.50674056519301
2.31,-64.5066214226865
2.34,-65.87170632701917
2.34,-65.87182004567094
2.37,-67.24264480176478
2.37,-67.2425364848046
2.4,-68.61883896846355
2.4,-68.6189419058954
2.4299999999999997,-70.00034197026113
2.4299999999999997,-70.00043955032766
2.46,-71.3867748022599
2.46,-71.3868670471242
2.4899999999999998,-72.77795482816677
2.4899999999999998,-72.77786789634148
2.52,-74.17335280422513
2.52,-74.17343444517458
2.55,-75.57296219745206
2.55,-75.57303856968878
2.58,-76.9764298673702
2.58,-76.97650099305721
2.61,-78.38355662645193
2.61,-78.38349072515126
2.6399999999999997,-79.79388080181565
2.6399999999999997,-79.793941500893
2.67,-81.20733724817164
2.67,-81.20739276718865
2.6999999999999997,-82.6235983348543
2.6999999999999997,-82.62364869597434
2.73,-84.04240345233642
2.73,-84.04244867772248
2.76,-85.46349311090945
2.76,-85.46353322272526
2.79,-86.88660894067769
2.79,-86.88664396108159
2.82,-88.31149369159121
2.82,-88.31152364278157
2.85,-89.73791613716226
2.85,-89.73789123330472
2.88,-91.16554655138678
2.88,-91.16556643211818
2.9099999999999997,-92.59420580270249
2.9099999999999997,-92.5942206700274
2.94,-94.02361602195941
2.94,-94.02362596509697
2.9699999999999998,-95.45352461235653
2.9699999999999998,-95.45352926288865
3.0,-96.88370218502122
3.0,-96.8836998706269
