Position (m),Normal Stress (MPa)
0.2457286432160804,3.3357110186914434
0.2472361809045226,3.2426871889598727
0.24874371859296482,3.149684227246784
0.25025125628140704,3.0567021335521796
0.25175879396984924,2.9637409078760633
0.25326633165829143,2.87080055021843
0.2547738693467337,2.7778810605792774
0.2562814070351759,2.684982438958612
0.2577889447236181,2.5921046853564293
0.25929648241206027,2.499247799772735
0.2608040201005025,2.4064117822075213
0.2623115577889447,2.313596632660792
0.2638190954773869,2.2208023511325483
0.26532663316582916,2.128028937622784
0.26683417085427136,2.035276392131511
0.26834170854271355,1.942544714658721
0.26984924623115575,1.849833905204414
0.271356783919598,1.75714396376859
0.2728643216080402,1.6644748903512534
0.2743718592964824,1.5718266849524
0.2758793969849246,1.4791993475720322
0.27738693467336684,1.3865928782101449
0.27889447236180903,1.2940072768667472
