Position (m),Deflection (mm)
0.43,-3.4885006469511297
0.43,-3.4881958237567026
0.44,-3.64732094591431
0.44,-3.6476243920960134
0.45,-3.8100678212686696
0.45,-3.809765750608062
0.46,-3.975515189402059
0.46,-3.9758158860332014
0.47000000000000003,-4.1448535542723715
0.47000000000000003,-4.1445542301790645
0.48,-4.3168678571402195
0.48,-4.317165810187323
0.49,-4.492737654298466
0.49,-4.492441070805935
0.5,-4.671258888015156
0.5,-4.671554103444739
0.51,-4.8533063419254
0.51,-4.853600190783667
0.52,-5.038568482012829
0.52,-5.038860965791408
0.53,-5.227030374072304
0.53,-5.227321494262826
0.54,-5.418966858311531
0.54,-5.41867710021744
0.55,-5.613493758880449
0.55,-5.613782156369735
0.56,-5.811465464812201
0.56,-5.8117525031883135
0.5700000000000001,-6.01257734908223
0.5700000000000001,-6.012863029836792
0.58,-6.217098883703277
0.58,-6.216814559078632
0.59,-6.424162258508307
0.59,-6.424445228494665
0.6,-6.634605627396875
0.6,-6.634887244236572
0.61,-6.848410127273288
0.61,-6.8481298620886255
0.62,-7.064720175246395
0.62,-7.0649990902676505
0.63,-7.284361795851808
0.63,-7.284639362201284
0.64,-7.507039969205095
0.64,-7.507316188374418
0.65,-7.733014830405812
0.65,-7.732739956925018
0.66,-7.961447036948951
0.66,-7.961720566232847
0.67,-8.193146503533153
0.67,-8.193418690111775
0.68,-8.428094512617363
0.68,-8.427823667252387
0.6900000000000001,-8.665463855000043
0.6900000000000001,-8.665733360642998
0.7000000000000001,-8.906320577400889
0.7000000000000001,-8.906052409988325
0.71,-9.149841522421736
0.71,-9.14957469174794
0.72,-9.39628157155507
0.72,-9.39601607612842
0.73,-9.645626116968849
0.73,-9.645361955297714
0.74,-9.89759773774216
0.74,-9.897860567149399
0.75,-10.152970346901673
0.75,-10.1527088482667
0.76,-10.410680727995945
0.76,-10.41094089735029
0.77,-10.671757675937886
0.77,-10.671498834372546
0.78,-10.935148641157589
0.78,-10.935406156425541
0.79,-11.201615638430603
0.79,-11.2018718288928
0.8,-11.470885332590855
0.8,-11.471140199738926
0.81,-11.74319679168113
0.81,-11.742943246355564
0.8200000000000001,-12.017774918760264
0.8200000000000001,-12.018027143754951
0.8300000000000001,-12.295616811314407
0.8300000000000001,-12.295365905158967
0.84,-12.575951366033319
0.84,-12.575701777225495
0.85,-12.859016395903678
0.85,-12.858768122951853
0.86,-13.144797505236076
0.86,-13.144550546648624
0.87,-13.43328031465955
0.87,-13.433034668944853
0.88,-13.724450461121824
0.88,-13.724206126788259
0.89,-14.018293597889432
0.89,-14.018050573445386
0.9,-14.31455367850047
0.9,-14.314795394546625
0.91,-14.613941536996958
0.91,-14.613701127857079
0.92,-14.91547862373714
0.92,-14.915717727462365
0.93,-15.219871884681151
0.93,-15.220109684483344
0.9400000000000001,-15.526866645548395
0.9400000000000001,-15.527103142919177
0.9500000000000001,-15.83644865751678
0.9500000000000001,-15.836683853947767
0.96,-16.1488375850651
0.96,-16.148603688082286
0.97,-16.46331752106009
0.97,-16.463550120086357
0.98,-16.780807259144694
0.98,-16.78057595658336
0.99,-17.100594818691842
0.99,-17.100364811103823
1.0,-17.422669917391556
1.0,-17.42289863149788
1.01,-17.747477124536875
1.01,-17.747704546653154
1.02,-18.07477229794565
1.02,-18.074998429563514
1.03,-18.40476616195763
1.03,-18.40454131934654
1.04,-18.736770086783107
1.04,-18.736993641879042
1.05,-19.071444514621692
1.05,-19.071666783694123
1.06,-19.408550533542787
1.06,-19.40877151808334
1.07,-19.748074090550297
1.07,-19.748293792050628
1.08,-20.090001148962706
1.08,-20.090219568914428
1.09,-20.434317688421327
1.09,-20.434534828316103
1.1,-20.78100970488223
1.1,-20.78122556621167
1.11,-21.130063210624417
1.11,-21.13027779488019
1.12,-21.48167754291512
1.12,-21.481464234241404
1.1300000000000001,-21.835198820649776
1.1300000000000001,-21.835410855233086
1.1400000000000001,-22.191253031079974
1.1400000000000001,-22.19146379306451
