"x/h=2: Velocity[i] (m/s)","x/h=2: Direction [0,1,0] (m)","xh2: U","xh2: %y"
0.4976149399368477,0.07200000000000001,null,null
0.4980680314710154,0.0728,null,null
0.4984762617987086,0.0736,null,null
0.4988340688831071,0.07440000000000001,null,null
0.4991923201574117,0.0752,null,null
0.4995346928558205,0.076,null,null
0.49978070917146933,0.0768,null,null
0.5000270517493309,0.0776,null,null
0.5002737209906056,0.0784,null,null
0.500421899996446,0.0792,null,null
0.5005482688269909,0.08,null,null
0.5006749044073839,0.0808,null,null
0.5007397736799627,0.0816,null,null
0.5007424805784806,0.0824,null,null
0.500745431754283,0.08320000000000001,null,null
0.5007234631390264,0.084,null,null
0.5005983458829807,0.0848,null,null
0.500473419099696,0.08560000000000001,null,null
0.5003486829915886,0.0864,null,null
0.5001060325434269,0.08720000000000001,null,null
0.49985288216537144,0.08800000000000001,null,null
0.499599895474967,0.0888,null,null
0.49926178733493803,0.08960000000000001,null,null
0.4988818832558575,0.0904,null,null
0.4985021295356947,0.09119999999999999,null,null
0.49806408841971417,0.092,null,null
0.4975582100580177,0.0928,null,null
0.4970523995174334,0.0936,null,null
0.49650979483331215,0.0944,null,null
0.49588033642585594,0.09519999999999999,null,null
0.4952509343306963,0.096,null,null
0.4945990883967757,0.0968,null,null
0.4938492665704191,0.0976,null,null
0.4930994930970839,0.0984,null,null
0.49233394491975635,0.0992,null,null
0.491466874165842,0.1,null,null
0.4905998458388871,0.1008,null,null
0.48971590705358437,0.10160000000000001,null,null
0.48873419875738816,0.1024,null,null
0.4877525279484595,0.1032,null,null
0.4867448649508252,0.10400000000000001,null,null
0.4856503486819745,0.1048,null,null
0.4845558655486107,0.10560000000000001,null,null
0.4834180225616349,0.10640000000000001,null,null
0.48221166646345576,0.1072,null,null
0.48100533944842516,0.10800000000000001,null,null
0.4797293813949075,0.10880000000000001,null,null
0.47841130208273785,0.10960000000000002,null,null
0.4770932479953144,0.1104,null,null
0.4756695041119109,0.1112,null,null
0.47423903105684573,0.11199999999999999,null,null
0.47276973726330923,0.1128,null,null
0.47122546622676476,0.11359999999999999,null,null
0.46968121343421676,0.1144,null,null
0.46804094298808413,0.1152,null,null
0.4663808637462459,0.11599999999999999,null,null
0.46467285342559306,0.1168,null,null
0.46289431706955425,0.1176,null,null
0.46110732379809477,0.1184,null,null
0.45920709035966795,0.1192,null,null
0.4573068680248171,0.12,null,null
0.45530312207095297,0.1208,null,null
0.45327731073166083,0.1216,null,null
0.4511644228686385,0.12240000000000001,null,null
0.4490084158915515,0.1232,null,null
0.4467706592206959,0.12400000000000001,null,null
0.44447905531171616,0.12480000000000001,null,null
0.4420986641031935,0.12560000000000002,null,null
0.43966518492490525,0.1264,null,null
0.4371218818432886,0.1272,null,null
0.43453929022471544,0.128,null,null
0.4318097622802523,0.1288,null,null
0.4290338745622322,0.12960000000000002,null,null
0.42612713660873985,0.1304,null,null
0.423117616004804,0.13119999999999998,null,null
0.4200288909911731,0.132,null,null
0.4167561011585642,0.1328,null,null
0.41337280795109976,0.1336,null,null
0.40986680861897207,0.1344,null,null
0.40617800109002256,0.1352,null,null
0.40230153481971254,0.136,null,null
0.39824729752867816,0.1368,null,null
0.39399118426578933,0.1376,null,null
0.3895072892211771,0.1384,null,null
0.38476848407734315,0.1392,null,null
0.3797471759135571,0.14,null,null
0.3744160951591216,0.1408,null,null
0.36874896722674744,0.1416,null,null
0.3627209496676882,0.1424,null,null
0.3563087164356915,0.1432,null,null
0.3493900303970572,0.14400000000000002,null,null
0.34201342675504653,0.1448,null,null
0.33403510476372045,0.1456,null,null
0.3253908008291032,0.1464,null,null
0.31591635682160885,0.1472,null,null
0.3053704299867767,0.14800000000000002,null,null
0.29316297303025807,0.14880000000000002,null,null
0.2779154929859932,0.1496,null,null
0.25498472494722296,0.1504,null,null
0.19651702339391003,0.1512,null,null
