"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0099571310632821756,0.049541403941790921,0.099051338064959707,0.27424513152355978,2.4236314126242531e-15,0
0.010459758336346759,0.052043254262904452,0.10930428501141636,0.27184294059029268,5.8377991243198166e-16,0
0.010924195875744724,0.054355130975500959,0.11922690746844464,0.26944074965702547,-6.6292280382470534e-16,0
0.011395291627520796,0.056700168619330367,0.12973204307986541,0.26703855872375831,-4.5644007577010491e-16,0
0.011830984460835492,0.058869072526799397,0.13984238061237111,0.26463636779049116,5.5910569881851736e-17,0
0.012274583989186537,0.061077332283234372,0.15052580209462038,0.26223417685722406,1.8939144901483204e-16,0
0.012684768863467304,0.063119328373087188,0.16075429755030426,0.25983198592395695,5.8045914154322594e-17,0
0.013103036600543674,0.065201541426762002,0.17153043209108279,0.2574297949906898,-4.5726561608217437e-17,0
0.013489770392427183,0.067126828554058285,0.181805070845584,0.25502760405742264,-4.0066864787540111e-17,0
0.013883956116951406,0.069089178890516273,0.19258510164451748,0.25262541312415543,-8.8014833088593802e-19,0
0.014248587631934017,0.070904436309699378,0.20283320262188498,0.25022322219088833,1.4551226960891852e-17,0
0.014618863566916654,0.072747749176385615,0.21351165708220116,0.24782103125762117,6.6505247776939127e-18,0
0.014962517505137002,0.074458544193657217,0.22366731576156104,0.24541884032435402,-2.4403789314445387e-18,0
0.01530887720759253,0.076182758646823376,0.23414153966136592,0.24301664939108683,-3.527151079304267e-18,0
0.015632067163026241,0.077791620443582968,0.24413109413903591,0.24061445845781965,-7.1791722865688818e-19,0
0.015954142676096711,0.079394879275467109,0.25429364771400187,0.23821226752455249,9.9907846322591331e-19,0
0.016257130417153424,0.080903086520529174,0.2640429149040196,0.23581007659128531,7.059499607116796e-19,0
0.016554896536085016,0.082385240935707538,0.27380267794183072,0.23340788565801812,-4.2325581984077953e-20,0
0.016837070282115455,0.083789727674227876,0.28321463098369165,0.23100569472475102,-2.800313365820362e-19,0
0.017110949159876838,0.085152857931955706,0.29250182583790657,0.22860350379148386,-1.093605604683039e-19,0
0.017371112787866523,0.086447652736159314,0.30146248946740539,0.22620131285821668,5.4665892440010105e-20,0
0.017621423215076135,0.087693327910535093,0.31021118935359687,0.22379912192494955,6.3646848746181036e-20,0
0.017858739169905428,0.088874246396844186,0.31862105017844328,0.22139693099168239,8.9750339054415788e-21,0
0.018085268849939266,0.090001393923685336,0.32675337053926595,0.21899474005841524,-1.9430168393913172e-20,0
0.018299094964030763,0.09106522679869973,0.33452340913876438,0.21659254912514808,-1.1394386351441267e-20,0
0.018501703033493268,0.092073134669133028,0.34196979575832404,0.21419035819188098,2.0421795924575786e-21,0
0.018691432268743237,0.093016850351213168,0.34901689466183478,0.21178816725861382,4.8755521712087472e-21,0
0.018869728984782331,0.093903569433159709,0.35570457992989885,0.20938597632534667,1.3150654388876568e-21,0
0.01903501472560969,0.094725435282910664,0.36196062095039494,0.20698378539207954,-1.081604733863261e-21,0
